theta,J,Nt,CR,z,papers_page,loss_mv,loss_scr,loss_bpe,loss_eme,std_mv,std_scr,std_bpe,std_eme
0.1,5,5,100,0.3,10,0.2915,0.157933333333,0.157933333333,0.157933333333,0.175041471277,0.0317321428348,0.0317321428348,0.0317321428348
0.2,5,5,100,0.3,10,0.5374,0.1687,0.1687,0.1687,0.253285951709,0.0734398393244,0.0734398393244,0.0734398393244
0.3,5,5,100,0.3,10,0.8449,0.1849,0.1849,0.1849,0.338502619389,0.0735650958902,0.0735650958902,0.0735650958902
0.4,5,5,100,0.3,10,1.07196666667,0.206766666667,0.206766666667,0.206766666667,0.433854006423,0.108940865713,0.108940865713,0.108940865713
0.5,5,5,100,0.3,10,1.31273333333,0.1779,0.1779,0.1779,0.41425281599,0.0922400310783,0.0922400310783,0.0922400310783
0.6,5,5,100,0.3,10,1.6669,0.187666666667,0.187666666667,0.189466666667,0.427977596766,0.119420638455,0.119420638455,0.119472377096
0.7,5,5,100,0.3,10,1.93183333333,0.2252,0.172233333333,0.171966666667,0.483216382403,0.145078002008,0.0935238591068,0.085950172904
0.8,5,5,100,0.3,10,2.05496666667,0.178533333333,0.115733333333,0.115733333333,0.523089315722,0.109871359123,0.0279582228016,0.0279582228016
0.9,5,5,100,0.3,10,2.5293,0.2376,0.0568,0.0568,0.573485085537,0.156579394132,0.00745385806143,0.00745385806143
0.1,10,5,100,0.3,10,0.0880666666667,0.0436,0.0187,0.0187,0.0886246516997,0.00977957054272,0.0400367747619,0.0400367747619
0.2,10,5,100,0.3,10,0.1775,0.0401333333333,0.0212333333333,0.0212333333333,0.133500749062,0.00675146074729,0.0435298237483,0.0435298237483
0.3,10,5,100,0.3,10,0.2876,0.0402333333333,0.0393,0.0393,0.128275120996,0.0258246436998,0.0266697706527,0.0266697706527
0.4,10,5,100,0.3,10,0.3408,0.0285,0.0285,0.0285,0.168710876946,0.0060207972894,0.0060207972894,0.0060207972894
0.5,10,5,100,0.3,10,0.5473,0.0325333333333,0.0325333333333,0.0325333333333,0.224834776373,0.0247490516092,0.0247490516092,0.0247490516092
0.6,10,5,100,0.3,10,0.637233333333,0.0261666666667,0.0261666666667,0.0261666666667,0.211978093732,0.0256204128686,0.0256204128686,0.0256204128686
0.7,10,5,100,0.3,10,0.7438,0.0218666666667,0.0218666666667,0.0218666666667,0.227483830927,0.0245176580357,0.0245176580357,0.0245176580357
0.8,10,5,100,0.3,10,0.8736,0.0436,0.0436,0.0436,0.304362678395,0.0598312070189,0.0598312070189,0.0598312070189
0.9,10,5,100,0.3,10,0.880266666667,0.00486666666667,0.0063,0.00666666666667,0.267477467379,0.00201218510304,0.00545985347789,0.00578695851799
