theta,J,Nt,CR,z,papers_page,loss_mv,loss_scr,loss_bpe,loss_eme,std_mv,std_scr,std_bpe,std_eme
0.1,10,5,100,0.3,10,3.67143333333,0.980933333333,0.816333333333,0.8553,0.560132584503,0.194194907817,0.0934980689046,0.0450060366321
0.2,10,5,100,0.3,10,6.88943333333,1.3982,0.8856,0.7884,0.876646020669,0.335623539103,0.105694402248,0.0550651735068
0.3,10,5,100,0.3,10,10.2936666667,1.98056666667,0.7679,0.7097,1.09506950566,0.322443450684,0.165261883083,0.0691188107537
0.4,10,5,100,0.3,10,13.4366,2.33686666667,0.640833333333,0.640833333333,1.06986004069,0.468255680395,0.0928069980599,0.0928069980599
0.5,10,5,100,0.3,10,17.5931666667,2.65356666667,0.5433,0.542233333333,1.2760233562,0.44303120156,0.103056990706,0.103100172432
0.6,10,5,100,0.3,10,20.4613666667,3.1559,0.457133333333,0.434466666667,1.28957353373,0.551980455572,0.0734659709586,0.0675508368235
0.7,10,5,100,0.3,10,24.1266,3.64483333333,0.392466666667,0.305933333333,1.43353157389,0.619509003611,0.089051570577,0.0267792622917
0.8,10,5,100,0.3,10,27.4891,3.93453333333,0.269966666667,0.1957,1.52822195923,0.5510812241,0.0904715363465,0.0115127465591
0.9,10,5,100,0.3,10,31.1148,4.38416666667,0.157766666667,0.107,1.70265638342,0.783040785797,0.0981830546593,0.0263552651286
